model,test_f1,test_precision,test_recall,test_accuracy,train_time_sec,n_params_mio,seed,key
bert-base-uncased,0.6921501706484642,0.6688654353562006,0.7171145685997171,0.8457064659596305,211.1,109.5,42,bert
bert-base-uncased,0.6882003955174687,0.6444444444444445,0.7383309759547383,0.8381799521040028,330.8,109.5,1337,bert
bert-base-uncased,0.6847826086956522,0.5974710221285564,0.801980198019802,0.8214163530619227,366.9,109.5,2024,bert
roberta-base,0.6898907103825137,0.667107001321004,0.7142857142857143,0.8446801231611358,255.2,124.6,42,roberta
roberta-base,0.6986301369863014,0.6772908366533864,0.7213578500707214,0.8494697228874444,388.4,124.6,1337,roberta
roberta-base,0.715679895901106,0.6626506024096386,0.7779349363507779,0.850496065685939,414.9,124.6,2024,roberta
answerdotai/ModernBERT-base,0.6945024356297843,0.6835616438356165,0.7057991513437057,0.8498118371536093,355.7,149.6,42,modernbert
answerdotai/ModernBERT-base,0.7044107965766951,0.6588669950738916,0.7567185289957568,0.8463906944919604,502.8,149.6,1337,modernbert
answerdotai/ModernBERT-base,0.7066167290886392,0.6324022346368715,0.8005657708628006,0.8392062949024974,469.3,149.6,2024,modernbert
